status,candidate_filter_status,reject_reason,manual_review_reasons,changed_line_count
rejected,manual_review_required,no_changed_test_file,cross_module_count_over:3,22
rejected,rejected,no_behavior_code_file;no_changed_test_file,,22
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,112
rejected,rejected,no_behavior_code_file;no_changed_test_file,,112
rejected,rejected,no_behavior_code_file;no_changed_test_file,,125
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,62
rejected,rejected,no_behavior_code_file;no_changed_test_file,,62
rejected,rejected,no_behavior_code_file;no_changed_test_file,,62
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,13
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,7
rejected,rejected,no_behavior_code_file;no_changed_test_file,,18
rejected,rejected,no_behavior_code_file;no_changed_test_file,,18
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,11
rejected,rejected,no_behavior_code_file;no_changed_test_file,,11
rejected,rejected,reject_subject_term:remove deprecated;changed_lines_over:250,docs_or_config_change_present,482
rejected,rejected,reject_subject_term:deprecate;no_behavior_code_file;changed_lines_over:250;no_changed_test_file,,482
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,97
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,31
rejected,rejected,no_behavior_code_file;no_changed_test_file,,128
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,12
rejected,rejected,no_behavior_code_file;no_changed_test_file,,12
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,9
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,164
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,10
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,10
rejected,rejected,no_behavior_code_file;no_changed_test_file,,193
rejected,manual_review_required,no_changed_test_file,docs_or_config_change_present,8
rejected,rejected,no_behavior_code_file;no_changed_test_file,,201
rejected,rejected,reject_subject_term:pytest;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,12
rejected,rejected,reject_subject_term:release;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,manual_review_required,no_changed_test_file,docs_or_config_change_present,8
rejected,rejected,no_behavior_code_file,,13
rejected,manual_review_required,no_changed_test_file,docs_or_config_change_present,12
candidate,accepted,,,10
rejected,rejected,no_behavior_code_file;no_changed_test_file,,19
rejected,rejected,no_behavior_code_file;no_changed_test_file,,27
rejected,rejected,reject_subject_term:release;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:release;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,no_behavior_code_file;no_changed_test_file,,0
rejected,manual_review_required,no_changed_test_file,docs_or_config_change_present,8
rejected,rejected,no_behavior_code_file;no_changed_test_file,,8
rejected,manual_review_required,no_changed_test_file,docs_or_config_change_present,8
rejected,manual_review_required,no_changed_test_file,docs_or_config_change_present,5
rejected,rejected,no_behavior_code_file;no_changed_test_file,,5
rejected,rejected,reject_subject_term:release;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,no_behavior_code_file;no_changed_test_file,,7
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,36
rejected,rejected,no_behavior_code_file;no_changed_test_file,,36
rejected,rejected,no_behavior_code_file;no_changed_test_file,,36
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,36
rejected,rejected,no_behavior_code_file;no_changed_test_file,,36
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,8
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,8
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,8
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,8
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,6
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,104
rejected,rejected,reject_subject_term:flake8;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:flake8;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,,108
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
